proposal_radius,nms_radius,strategy,param_name,param_value,empty_anchor_ratio,median_raw_child_count,median_used_child_count,mean_used_child_count,p75_used_child_count,p90_used_child_count,mean_fallback_ratio,median_fallback_ratio,nearest_topm_distance_median,used_child_distance_mean,anchor_rows
2048.0,512.0,bbox_then_nearest,bbox_expand,3.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9507893041237113,0.9375,1448.1546878700494,1925.547921032829,3104
2048.0,512.0,bbox_containment,bbox_expand,4.0,0.22164948453608246,1.0,1.0,0.790270618556701,1.0,1.0,0.0,0.0,1448.1546878700494,3.948451507809547,3104
2048.0,512.0,bbox_then_nearest,bbox_expand,4.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9506080863402062,0.9375,1448.1546878700494,1925.6001164086292,3104
2048.0,512.0,bbox_containment,bbox_expand,6.0,0.22068298969072164,1.0,1.0,0.7960695876288659,1.0,1.0,0.0,0.0,1448.1546878700494,6.048501035800851,3104
2048.0,512.0,bbox_then_nearest,bbox_expand,6.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9502456507731959,0.9375,1448.1546878700494,1925.7195554283053,3104
2048.0,512.0,bbox_containment,bbox_expand,8.0,0.047036082474226804,9.0,9.0,6.929123711340206,9.0,9.0,0.0,0.0,1448.1546878700494,1110.820053910094,3104
2048.0,512.0,bbox_then_nearest,bbox_expand,8.0,0.0,9.0,16.0,16.0,16.0,16.0,0.5669297680412371,0.4375,1448.1546878700494,1925.7998869867088,3104
2048.0,512.0,bbox_containment,bbox_expand,10.0,0.04639175257731959,9.0,9.0,6.940721649484536,9.0,9.0,0.0,0.0,1448.1546878700494,1112.0327578865827,3104
2048.0,512.0,bbox_then_nearest,bbox_expand,10.0,0.0,9.0,16.0,16.0,16.0,16.0,0.5662048969072165,0.4375,1448.1546878700494,1925.7998869867088,3104
2048.0,512.0,center_radius,high_radius,512.0,0.22261597938144329,1.0,1.0,0.7773840206185567,1.0,1.0,0.0,0.0,1448.1546878700494,0.8402345169449236,3104
2048.0,512.0,center_radius,high_radius,1024.0,0.07957474226804123,5.0,5.0,3.86340206185567,5.0,5.0,0.0,0.0,1448.1546878700494,830.0619373204709,3104
2048.0,512.0,center_radius,high_radius,2048.0,0.023195876288659795,12.0,12.0,9.954252577319588,13.0,13.0,0.0,0.0,1448.1546878700494,1410.409794263604,3104
2048.0,512.0,center_radius,high_radius,4096.0,0.00032216494845360824,40.0,16.0,15.523840206185566,16.0,16.0,0.0,0.0,1448.1546878700494,1873.5665066446586,3104
2048.0,512.0,center_radius,high_radius,8192.0,0.0,133.0,16.0,15.998711340206185,16.0,16.0,0.0,0.0,1448.1546878700494,1924.9520015573985,3104
2048.0,1024.0,bbox_containment,bbox_expand,2.0,0.22293814432989692,1.0,1.0,0.7799613402061856,1.0,1.0,0.0,0.0,1448.1546878700494,1.569532386052165,3104
2048.0,1024.0,bbox_then_nearest,bbox_expand,2.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9512524162371134,0.9375,1448.1546878700494,1925.5443144764874,3104
