experiment,train_dir,fold,test_auc,test_acc,test_f1,val_auc,val_acc,balanced_acc,sensitivity,specificity,pr_auc
Concept-12 PEPS topk=3 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.07_s1,3,0.9675637560230343,0.9432989690721648,0.93612881984975,0.954664757814364,0.927461139896373,0.9284874838406394,0.8805970149253731,0.9763779527559056,0.9643582874398952
Concept-12 PEPS topk=3 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.07_s1,4,0.9648055356716776,0.9378238341968912,0.93092340730136,0.9664757814364112,0.9481865284974094,0.93092340730136,0.9090909090909092,0.952755905511811,0.930468133332202
Concept-12 PEPS topk=3 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.07_s1,5,0.9693987115246958,0.922279792746114,0.914563966356795,0.9857954545454546,0.9484536082474226,0.9191123836793128,0.9090909090909092,0.9291338582677166,0.9090392537714505
Concept-12 PEPS topk=3 tau=0.15,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.15_s1,1,0.9775094696969696,0.9329896907216496,0.9261601522471088,0.970525568181818,0.9278350515463918,0.9308712121212122,0.9242424242424242,0.9375,0.952352843202021
Concept-12 PEPS topk=3 tau=0.15,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.15_s1,2,0.9589251893939394,0.8969072164948454,0.8889270582846673,0.9781407921024798,0.963917525773196,0.9035274621212122,0.9242424242424242,0.8828125,0.9326862247514224
Concept-12 PEPS topk=3 tau=0.15,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.15_s1,3,0.9661534845457752,0.9175257731958762,0.9043510415382718,0.9612264376043904,0.932642487046632,0.8876483723116699,0.7910447761194029,0.984251968503937,0.9582242106680404
Concept-12 PEPS topk=3 tau=0.15,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.15_s1,4,0.9380219518014794,0.917098445595855,0.9057387057387056,0.9632545931758528,0.9430051813471504,0.8969816272965879,0.8333333333333334,0.9606299212598424,0.9096490442046224
Concept-12 PEPS topk=3 tau=0.15,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.15_s1,5,0.9659985683607728,0.927461139896373,0.918810096153846,0.986624053030303,0.9484536082474226,0.9157718921498448,0.8787878787878788,0.952755905511811,0.9196982762593268
Concept-12 PEPS topk=5 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.07_s1,1,0.9779829545454546,0.9329896907216496,0.9261601522471088,0.9689867424242424,0.9278350515463918,0.9308712121212122,0.9242424242424242,0.9375,0.9542200798282306
Concept-12 PEPS topk=5 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.07_s1,2,0.9595170454545454,0.9329896907216496,0.9271329924012596,0.9768480432483252,0.9587628865979382,0.9382102272727272,0.9545454545454546,0.921875,0.933192524286945
Concept-12 PEPS topk=5 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.07_s1,3,0.9688565048771888,0.9536082474226804,0.9473255498235136,0.9650441422094964,0.932642487046632,0.9363614995886708,0.8805970149253731,0.9921259842519684,0.9697370822946484
Concept-12 PEPS topk=5 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.07_s1,4,0.963254593175853,0.9378238341968912,0.9304086538461538,0.9680267239322358,0.9481865284974094,0.9272846575996182,0.8939393939393939,0.9606299212598424,0.9345417881443758
Concept-12 PEPS topk=5 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.07_s1,5,0.9720233834407064,0.9378238341968912,0.9298691860465116,0.9860913825757576,0.9536082474226804,0.9236459078978764,0.8787878787878788,0.968503937007874,0.9376404550440488
Concept-12 PEPS topk=5 tau=0.15,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.15_s1,1,0.9779829545454546,0.9329896907216496,0.9261601522471088,0.9701704545454546,0.9278350515463918,0.9308712121212122,0.9242424242424242,0.9375,0.953115864500389
Concept-12 PEPS topk=5 tau=0.15,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.15_s1,2,0.9604640151515152,0.9123711340206184,0.9053033565911506,0.97720061111764,0.963917525773196,0.9189157196969696,0.9393939393939394,0.8984375,0.9357893728266936
Concept-12 PEPS topk=5 tau=0.15,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.15_s1,3,0.9689740275002938,0.9432989690721648,0.93612881984975,0.9692197566213314,0.9481865284974094,0.9284874838406394,0.8805970149253731,0.9763779527559056,0.9666235922727032
Concept-12 PEPS topk=5 tau=0.15,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.15_s1,4,0.9597947983774756,0.9430051813471504,0.9359635628751546,0.9625387735623956,0.932642487046632,0.931221665473634,0.8939393939393939,0.968503937007874,0.91160993928199
Concept-12 PEPS topk=5 tau=0.15,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.15_s1,5,0.9670722977809592,0.9378238341968912,0.9314143567874912,0.9850852272727272,0.9536082474226804,0.934562157003102,0.9242424242424242,0.9448818897637796,0.9161971985682716
