slide_id,fold,raw_attention_shape,a_low_proto_patch_shape,attention_dim_judgement,warning,proto_attention_row_sum_min,proto_attention_row_sum_max,proto_attention_cosine_mean,proto_attention_cosine_median,proto_attention_cosine_max,proto_top1_unique_ratio,proto_top3_overlap_mean,proto_top5_overlap_mean,proto_top1_pairwise_dist_mean,proto_top1_pairwise_dist_median
2473549-B,0,"(1, 1, 16, 234)","(16, 234)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.000000238418579,0.9690818252647403,0.9882441926282031,0.9999879613637147,0.0625,1.0,1.0,0.0,0.0
2473621-B3,0,"(1, 1, 16, 158)","(16, 158)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9740518318159334,0.9897158567825187,0.9999754643037754,0.0625,1.0,1.0,0.0,0.0
2474150-B3,0,"(1, 1, 16, 220)","(16, 220)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0,0.9731702414152158,0.9896583793568172,0.9999531119162082,0.0625,1.0,1.0,0.0,0.0
2474291-B2,0,"(1, 1, 16, 316)","(16, 316)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9684253282909743,0.9878532931185366,0.9998021055109426,0.0625,1.0,1.0,0.0,0.0
2474337-B3,0,"(1, 1, 16, 301)","(16, 301)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.000000238418579,0.9651385539888065,0.9863486969136069,0.9999062615809238,0.0625,1.0,0.9083333333333333,0.0,0.0
2474638-B3,0,"(1, 1, 16, 155)","(16, 155)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.000000238418579,0.974205514430178,0.9919171860516888,0.9999793986323435,0.0625,1.0,1.0,0.0,0.0
2474739-B2,0,"(1, 1, 16, 315)","(16, 315)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9600216318137805,0.9844030704954733,0.9998671200696616,0.0625,1.0,1.0,0.0,0.0
2475011-B2,0,"(1, 1, 16, 183)","(16, 183)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0,0.9699087842983136,0.9888043920757557,0.9999734691302179,0.125,1.0,1.0,14541.009001250375,0.0
2475022-B,0,"(1, 1, 16, 224)","(16, 224)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9689857801169793,0.988220517626091,0.999903440860392,0.0625,1.0,1.0,0.0,0.0
2475126-B2,0,"(1, 1, 16, 231)","(16, 231)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.000000238418579,0.9614682857327658,0.985092725071125,0.9999230061937564,0.0625,1.0,0.9533333333333334,0.0,0.0
