slide_id,fold,prototype_id,anchor_rank,anchor_score,coord_x,coord_y
2461700-B2,0,3,1,0.1463961899280548,91431.0,33282.0
2461700-B2,0,3,2,0.11859970539808273,87335.0,25090.0
2461700-B2,0,3,3,0.0873485878109932,91431.0,25090.0
2461700-B2,0,4,1,0.16617721319198608,91431.0,33282.0
2461700-B2,0,4,2,0.13102906942367554,87335.0,25090.0
2461700-B2,0,4,3,0.0937812551856041,91431.0,25090.0
2461700-B2,0,5,1,0.1755988597869873,91431.0,33282.0
2461700-B2,0,5,2,0.13257291913032532,87335.0,25090.0
2461700-B2,0,5,3,0.09952398389577866,91431.0,25090.0
2461700-B2,0,6,1,0.19186054170131683,91431.0,33282.0
2461700-B2,0,6,2,0.14488273859024048,87335.0,25090.0
2461700-B2,0,6,3,0.10321839898824692,91431.0,25090.0
2461700-B2,0,7,1,0.09266103804111481,91431.0,33282.0
2461700-B2,0,7,2,0.07801229506731033,87335.0,25090.0
2461700-B2,0,7,3,0.06440746039152145,91431.0,25090.0
2461700-B2,0,8,1,0.18553031980991364,91431.0,33282.0
2461700-B2,0,8,2,0.1406460851430893,87335.0,25090.0
2461700-B2,0,8,3,0.09959977120161057,91431.0,25090.0
2461700-B2,0,9,1,0.1781626045703888,91431.0,33282.0
2461700-B2,0,9,2,0.13424107432365417,87335.0,25090.0
2461700-B2,0,9,3,0.10011673718690872,91431.0,25090.0
2461700-B2,0,10,1,0.09187166392803192,91431.0,33282.0
2461700-B2,0,10,2,0.07879636436700821,87335.0,25090.0
2461700-B2,0,10,3,0.06287390738725662,91431.0,25090.0
2461700-B2,0,11,1,0.19778309762477875,91431.0,33282.0
2461700-B2,0,11,2,0.14511528611183167,87335.0,25090.0
2461700-B2,0,11,3,0.1031280905008316,91431.0,25090.0
2461700-B2,0,12,1,0.15347130596637726,91431.0,33282.0
2461700-B2,0,12,2,0.11939896643161774,87335.0,25090.0
2461700-B2,0,12,3,0.08824381232261658,91431.0,25090.0
2461700-B2,0,13,1,0.18747615814208984,91431.0,33282.0
2461700-B2,0,13,2,0.14041458070278168,87335.0,25090.0
2461700-B2,0,13,3,0.10160158574581146,91431.0,25090.0
2461700-B2,0,14,1,0.10857626050710678,91431.0,33282.0
2461700-B2,0,14,2,0.09188798815011978,87335.0,25090.0
2461700-B2,0,14,3,0.0717485100030899,91431.0,25090.0
2461700-B2,0,15,1,0.1734086573123932,91431.0,33282.0
