slide_id,coord_mode,scale_ratio,low_patch_count,high_patch_count,child_count_mean,child_count_std,child_count_min,child_count_max,child_count_median,child_count_p25,child_count_p75,child_count_p90,child_count_p95,child_count_nonzero_mean,empty_match_ratio
2463127-B3,top_left,0.5,261,3791,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463127-B3,top_left,0.25,261,3791,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463127-B3,center,1.0,261,3791,0.8735632183908046,0.33234097229427495,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.12643678160919541
2463127-B3,center,2.0,261,3791,0.022988505747126436,0.1498667219586816,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9770114942528736
2463127-B3,center,4.0,261,3791,0.038314176245210725,0.19195364061111644,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9616858237547893
2463127-B3,center,0.5,261,3791,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463127-B3,center,0.25,261,3791,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463647-B2,top_left,1.0,204,2934,0.803921568627451,0.3970285633591488,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.19607843137254902
2463647-B2,top_left,2.0,204,2934,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463647-B2,top_left,4.0,204,2934,0.0196078431372549,0.1386483884679505,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9803921568627451
2463647-B2,top_left,0.5,204,2934,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463647-B2,top_left,0.25,204,2934,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463647-B2,center,1.0,204,2934,0.803921568627451,0.3970285633591488,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.19607843137254902
2463647-B2,center,2.0,204,2934,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463647-B2,center,4.0,204,2934,0.0196078431372549,0.1386483884679505,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9803921568627451
2463647-B2,center,0.5,204,2934,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463647-B2,center,0.25,204,2934,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463656-B2,top_left,1.0,157,2076,0.6751592356687898,0.468315323430619,0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.3248407643312102
2463656-B2,top_left,2.0,157,2076,0.025477707006369428,0.1575709156287004,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9745222929936306
2463656-B2,top_left,4.0,157,2076,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463656-B2,top_left,0.5,157,2076,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463656-B2,top_left,0.25,157,2076,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463656-B2,center,1.0,157,2076,0.6751592356687898,0.468315323430619,0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.3248407643312102
2463656-B2,center,2.0,157,2076,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463656-B2,center,4.0,157,2076,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463656-B2,center,0.5,157,2076,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2463656-B2,center,0.25,157,2076,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2464548-B,top_left,1.0,337,4999,0.8664688427299704,0.34014789034794307,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.13353115727002968
2464548-B,top_left,2.0,337,4999,0.04747774480712166,0.2126584316577913,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9525222551928784
2464548-B,top_left,4.0,337,4999,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2464548-B,top_left,0.5,337,4999,0.008902077151335312,0.09392992161035262,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9910979228486647
2464548-B,top_left,0.25,337,4999,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2464548-B,center,1.0,337,4999,0.8664688427299704,0.34014789034794307,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.13353115727002968
2464548-B,center,2.0,337,4999,0.002967359050445104,0.05439258985110789,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9970326409495549
2464548-B,center,4.0,337,4999,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2464548-B,center,0.5,337,4999,0.008902077151335312,0.09392992161035262,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9910979228486647
2464548-B,center,0.25,337,4999,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2465243-B2,top_left,1.0,348,5204,0.9051724137931034,0.2929766459994212,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.09482758620689655
2465243-B2,top_left,2.0,348,5204,0.07758620689655173,0.26751932153763625,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.9224137931034483
2465243-B2,top_left,4.0,348,5204,0.008620689655172414,0.0924465973686518,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9913793103448276
2465243-B2,top_left,0.5,348,5204,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
