slide_id,fold_ids,num_folds,status,scale_ratio,n_low,n_high,n_low_sampled,n_high_sampled,nearest_dist_mean,nearest_dist_median,nearest_dist_p10,nearest_dist_p90,nearest_dist_min,nearest_dist_max,coverage_256,coverage_512,coverage_1024
25045801B2,0,1,ok,8.0,136,1735,136,1735,155169.92812287458,155384.09551173504,132861.67335853205,178419.07050131273,117338.9736532581,184953.52979870376,0.0,0.0,0.0
25045807B4,4,1,ok,1.0,50,598,50,598,1792.5312740124004,1748.0773439350246,1024.0,2896.309375740099,0.0,4579.4672179195695,0.05518394648829431,0.05518394648829431,0.28762541806020064
25045807B4,4,1,ok,2.0,50,598,50,598,16727.816273157052,15037.784831539804,5031.694029749358,31451.16921386138,571.4840330227959,37376.429470991476,0.0,0.0,0.006688963210702341
25045807B4,4,1,ok,4.0,50,598,50,598,42745.174874995886,43950.25246400765,29676.689469742563,52843.03262095807,24332.315960467058,60491.19435091359,0.0,0.0,0.0
25045807B4,4,1,ok,8.0,50,598,50,598,120323.3630389341,120593.6124415579,103211.23435446418,134876.5638737117,97777.64979789604,143407.5208139378,0.0,0.0,0.0
25045829B2,0,1,ok,1.0,298,4354,298,2000,1711.8424868202037,1448.1546878700494,1024.0,2896.309375740099,0.0,5514.408762505732,0.065,0.065,0.2995
25045829B2,0,1,ok,2.0,298,4354,298,2000,8430.76661974765,5249.999619047605,2101.238682301466,19688.91375210122,470.0,31567.1804886024,0.0,0.004,0.0245
25045829B2,0,1,ok,4.0,298,4354,298,2000,33076.297312667506,37811.820904770895,5176.65194140385,66639.20481180909,198.80643852752857,77115.99325691137,0.002,0.002,0.0065
25045829B2,0,1,ok,8.0,298,4354,298,2000,126330.06852431921,140366.21303250286,80714.72857767332,169177.30414643037,69174.20354438496,179646.33700690922,0.0,0.0,0.0
25045839B,1,1,ok,1.0,240,3188,240,2000,1726.7539127431137,1448.1546878700494,1024.0,2896.309375740099,0.0,4579.4672179195695,0.055,0.055,0.2885
25045839B,1,1,ok,2.0,240,3188,240,2000,8865.047405197165,5134.78022898741,2110.06350615331,21927.671401704978,452.48204384262584,33751.854052777606,0.0,0.0045,0.0265
25045839B,1,1,ok,4.0,240,3188,240,2000,49272.87456849131,50919.29160545136,14658.273109418107,82777.51519015785,289.77232442039735,103227.29547944188,0.0,0.0005,0.001
25045839B,1,1,ok,8.0,240,3188,240,2000,184845.339158242,188281.76313405496,148137.12601860942,221439.4870348203,135193.0755623231,242387.18303573725,0.0,0.0,0.0
25046521B3,3,1,ok,1.0,162,2300,162,2000,1709.0634408545598,1448.1546878700494,1024.0,2896.309375740099,0.0,5514.408762505732,0.062,0.062,0.295
25046521B3,3,1,ok,2.0,162,2300,162,2000,12294.77689028076,9079.597645806887,2544.0567996803843,27715.756403172545,496.2912451373689,36347.088810522364,0.0,0.006,0.012
25046521B3,3,1,ok,4.0,162,2300,162,2000,16333.699639345854,13521.761668751657,4828.6139833289635,33016.52612992174,682.6250801135276,42409.222122080944,0.0,0.0,0.0045
25046521B3,3,1,ok,8.0,162,2300,162,2000,56466.88586640194,56524.526745679716,20231.31327213119,89730.33864985194,9525.539617260536,100183.79821607884,0.0,0.0,0.0
25046631B2,0,1,ok,1.0,240,3437,240,2000,1758.714662477933,1448.1546878700494,1024.0,2896.309375740099,0.0,6127.501366788913,0.059,0.059,0.2845
25046631B2,0,1,ok,2.0,240,3437,240,2000,15874.859896100794,13835.050801577401,4023.3242738338317,31471.405338815108,206.63494380186523,40834.203041078195,0.001,0.002,0.006
25046631B2,0,1,ok,4.0,240,3437,240,2000,84279.89566322083,82186.06026447436,55678.90773190213,116120.59021347958,41609.42831859145,127174.02009058297,0.0,0.0,0.0
25046631B2,0,1,ok,8.0,240,3437,240,2000,250184.68009056538,249071.35791766283,213328.38905478455,288041.0446457709,198609.99114092925,299958.0850352262,0.0,0.0,0.0
25046855B,2,1,ok,1.0,228,3144,228,2000,1752.6960610231295,1448.1546878700494,1024.0,2896.309375740099,0.0,7632.028891454749,0.0595,0.0595,0.283
25046855B,2,1,ok,2.0,228,3144,228,2000,13578.450516695819,10893.662284189732,2895.2768582143817,28862.962577439477,352.4599268001967,52219.31462591213,0.0,0.003,0.0085
25046855B,2,1,ok,4.0,228,3144,228,2000,52572.42231590319,52716.39111494775,32642.033422165707,71068.08114149429,21259.60312423541,92449.37418933673,0.0,0.0,0.0
25046855B,2,1,ok,8.0,228,3144,228,2000,156565.56896168593,157761.68461206072,130227.25526460276,180427.7952679158,115817.05448248975,198288.1245965073,0.0,0.0,0.0
25047066B,1,1,ok,1.0,194,2568,194,2000,1858.7912548719976,2048.0,1024.0,3072.0,0.0,5514.408762505732,0.0545,0.0545,0.264
25047066B,1,1,ok,2.0,194,2568,194,2000,11293.45215276109,8810.094584733033,2838.5688295336436,24411.100338593104,98.0612053770501,31709.72248380613,0.001,0.005,0.013
25047066B,1,1,ok,4.0,194,2568,194,2000,46205.396096399745,46942.1237269896,17256.923552974386,74469.07042699846,4518.347042890796,90684.5812914191,0.0,0.0,0.0
25047066B,1,1,ok,8.0,194,2568,194,2000,162768.87352184945,163293.02866240716,128984.49658304804,196788.28385339855,114943.86664802955,212979.5672547017,0.0,0.0,0.0
25047067B2,3,1,ok,1.0,194,2784,194,2000,1755.1668595018443,1448.1546878700494,1024.0,2896.309375740099,0.0,9093.576029263735,0.057,0.057,0.2805
25047067B2,3,1,ok,2.0,194,2784,194,2000,6396.9492867297095,4766.540149836147,1967.7807296546025,12778.81782482245,449.60538253005825,19948.282758172445,0.0,0.0095,0.02
25047067B2,3,1,ok,4.0,194,2784,194,2000,24574.528380394757,25357.686987639867,5886.787719509258,43766.10010958521,729.0630974065276,59844.84827451733,0.0,0.0,0.001
25047067B2,3,1,ok,8.0,194,2784,194,2000,89070.87573296025,91527.02994274878,52349.25479454148,122477.88078941661,37164.95528047895,139637.9793072071,0.0,0.0,0.0
25047077B2,1,1,ok,1.0,189,2735,189,2000,1761.0217215952925,1448.1546878700494,1024.0,2896.309375740099,0.0,6556.799219131237,0.0605,0.0605,0.296
25047077B2,1,1,ok,2.0,189,2735,189,2000,10058.46263626734,8159.5063502014655,2517.402033843621,20034.72907228845,262.8554735971842,46381.58190488979,0.0,0.0065,0.019
